word_id	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_conj_id
255	255	imperfective	imperfective	походить	походить	ходи'	ходи'	ходи'те	ходи'те	ходи'л	ходи'л	ходи'ла	ходи'ла	ходи'ло	ходи'ло	ходи'ли	ходи'ли	2165	2165
256	256	perfective	perfective	замечать	замечать	заме'ть	заме'ть	заме'тьте	заме'тьте	заме'тил	заме'тил	заме'тила	заме'тила	заме'тило	заме'тило	заме'тили	заме'тили	488	488
264	264	imperfective	imperfective	побывать	побывать	быва'й	быва'й	быва'йте	быва'йте	быва'л	быва'л	быва'ла	быва'ла	быва'ло	быва'ло	быва'ли	быва'ли	52	52
266	266	imperfective	imperfective	услышать	услышать	слы'шь	слы'шь	слы'шьте	слы'шьте	слы'шал	слы'шал	слы'шала	слы'шала	слы'шало	слы'шало	слы'шали	слы'шали	1805	1805
267	267	perfective	perfective	уходить	уходить	уйди'	уйди'	уйди'те	уйди'те	ушёл	ушёл	ушла'	ушла'	ушло'	ушло'	ушли'	ушли'	2052	2052
269	269	imperfective	imperfective	забояться	забояться	бо'йся	бо'йся	бо'йтесь	бо'йтесь	боя'лся	боя'лся	боя'лась	боя'лась	боя'лось	боя'лось	боя'лись	боя'лись	31	31
272	272	imperfective	imperfective	послушать	послушать	слу'шай	слу'шай	слу'шайте	слу'шайте	слу'шал	слу'шал	слу'шала	слу'шала	слу'шало	слу'шало	слу'шали	слу'шали	1801	1801
281	281	imperfective	imperfective	взглянуть;глянуть;поглядеть	взглянуть;глянуть;поглядеть	гляди'	гляди'	гляди'те	гляди'те	гляде'л	гляде'л	гляде'ла	гляде'ла	гляде'ло	гляде'ло	гляде'ли	гляде'ли	300	300
287	287	perfective	perfective	садиться	садиться	сядь	сядь	ся'дьте	ся'дьте	се'л	се'л	се'ла	се'ла	се'ло	се'ло	се'ли	се'ли	1763	1763
291	291	imperfective	imperfective	остаться	остаться	остава'йся	остава'йся	остава'йтесь	остава'йтесь	остава'лся	остава'лся	остава'лась	остава'лась	остава'лось	остава'лось	остава'лись	остава'лись	977	977
297	297	perfective	perfective	писать	писать	напиши'	напиши'	напиши'те	напиши'те	написа'л	написа'л	написа'ла	написа'ла	написа'ло	написа'ло	написа'ли	написа'ли	791	791
300	300	imperfective	imperfective	прочитать;прочесть	прочитать;прочесть	чита'й	чита'й	чита'йте	чита'йте	чита'л	чита'л	чита'ла	чита'ла	чита'ло	чита'ло	чита'ли	чита'ли	2185	2185
301	301	imperfective	imperfective	почувствовать	почувствовать	чу'вствуй	чу'вствуй	чу'вствуйте	чу'вствуйте	чу'вствовал	чу'вствовал	чу'вствовала	чу'вствовала	чу'вствовало	чу'вствовало	чу'вствовали	чу'вствовали	2189	2189
305	305					веди'	веди'	веди'те	веди'те	вёл	вёл	вела'	вела'	вело'	вело'	вели'	вели'	2213	2213
310	310	imperfective	imperfective	продолжить	продолжить	продолжа'й	продолжа'й	продолжа'йте	продолжа'йте	продолжа'л	продолжа'л	продолжа'ла	продолжа'ла	продолжа'ло	продолжа'ло	продолжа'ли	продолжа'ли	1531	1531
316	316	perfective	perfective	успевать	успевать	успе'й	успе'й	успе'йте	успе'йте	успе'л	успе'л	успе'ла	успе'ла	успе'ло	успе'ло	успе'ли	успе'ли	2122	2122
321	321	imperfective	imperfective	взять	взять	бери'	бери'	бери'те	бери'те	бра'л	бра'л	брала'	брала'	бра'ло	бра'ло	бра'ли	бра'ли	33	33
329	329					пройди'	пройди'	пройди'те	пройди'те	прошёл	прошёл	прошла'	прошла'	прошло'	прошло'	прошли'	прошли'	2214	2214
330	330	imperfective	imperfective	начать	начать	начина'й	начина'й	начина'йте	начина'йте	начина'л	начина'л	начина'ла	начина'ла	начина'ло	начина'ло	начина'ли	начина'ли	830	830
332	332	perfective	perfective	появляться	появляться	появи'сь	появи'сь	появи'тесь	появи'тесь	появи'лся	появи'лся	появи'лась	появи'лась	появи'лось	появи'лось	появи'лись	появи'лись	1354	1354
337	337	perfective	perfective	забывать	забывать	забу'дь	забу'дь	забу'дьте	забу'дьте	забы'л	забы'л	забы'ла	забы'ла	забы'ло	забы'ло	забы'ли	забы'ли	426	426
338	338	perfective	perfective	вспоминать	вспоминать	вспо'мни	вспо'мни	вспо'мните	вспо'мните	вспо'мнил	вспо'мнил	вспо'мнила	вспо'мнила	вспо'мнило	вспо'мнило	вспо'мнили	вспо'мнили	178	178
345	345	imperfective	imperfective	попытаться	попытаться	пыта'йся	пыта'йся	пыта'йтесь	пыта'йтесь	пыта'лся	пыта'лся	пыта'лась	пыта'лась	пыта'лось	пыта'лось	пыта'лись	пыта'лись	1604	1604
346	346	imperfective	imperfective			находи'сь	находи'сь	находи'тесь	находи'тесь	находи'лся	находи'лся	находи'лась	находи'лась	находи'лось	находи'лось	находи'лись	находи'лись	827	827
347	347	imperfective	imperfective	подержать;сдержать	подержать;сдержать	держи'	держи'	держи'те	держи'те	держа'л	держа'л	держа'ла	держа'ла	держа'ло	держа'ло	держа'ли	держа'ли	338	338
348	348	imperfective	imperfective	попросить	попросить	проси'	проси'	проси'те	проси'те	проси'л	проси'л	проси'ла	проси'ла	проси'ло	проси'ло	проси'ли	проси'ли	1566	1566
349	349	perfective	perfective	показывать	показывать	покажи'	покажи'	покажи'те	покажи'те	показа'л	показа'л	показа'ла	показа'ла	показа'ло	показа'ло	показа'ли	показа'ли	1236	1236
355	355					выходи'	выходи'	выходи'те	выходи'те	выходи'л	выходи'л	выходи'ла	выходи'ла	выходи'ло	выходи'ло	выходи'ли	выходи'ли	2215	2215
357	357	perfective	perfective	поднимать	поднимать	подними'	подними'	подними'те	подними'те	по'днял,подня'л	по'днял,подня'л	подняла'	подняла'	по'дняло,подня'ло	по'дняло,подня'ло	по'дняли,подня'ли	по'дняли,подня'ли	1183	1183
359	359	imperfective	imperfective	назвать	назвать	называ'й	называ'й	называ'йте	называ'йте	называ'л	называ'л	называ'ла	называ'ла	называ'ло	называ'ло	называ'ли	называ'ли	770	770
361	361	perfective	perfective	посылать;слать	посылать;слать	пошли'	пошли'	пошли'те	пошли'те	посла'л	посла'л	посла'ла	посла'ла	посла'ло	посла'ло	посла'ли	посла'ли	1311	1311
362	362	perfective	perfective	подходить	подходить	подойди'	подойди'	подойди'те	подойди'те	подошёл	подошёл	подошла'	подошла'	подошло'	подошло'	подошли'	подошли'	1188	1188
363	363	perfective	perfective	рассказывать	рассказывать	расскажи'	расскажи'	расскажи'те	расскажи'те	рассказа'л	рассказа'л	рассказа'ла	рассказа'ла	рассказа'ло	рассказа'ло	рассказа'ли	рассказа'ли	1682	1682
366	366	perfective	perfective	вставать	вставать	вста'нь	вста'нь	вста'ньте	вста'ньте	вста'л	вста'л	вста'ла	вста'ла	вста'ло	вста'ло	вста'ли	вста'ли	182	182
368	368	imperfective	imperfective	спросить	спросить	спра'шивай	спра'шивай	спра'шивайте	спра'шивайте	спра'шивал	спра'шивал	спра'шивала	спра'шивала	спра'шивало	спра'шивало	спра'шивали	спра'шивали	1909	1909
371	371	imperfective	imperfective	последовать	последовать	сле'дуй	сле'дуй	сле'дуйте	сле'дуйте	сле'довал	сле'довал	сле'довала	сле'довала	сле'довало	сле'довало	сле'довали	сле'довали	1795	1795
372	372	perfective	perfective	ставить	ставить	поста'вь	поста'вь	поста'вьте	поста'вьте	поста'вил	поста'вил	поста'вила	поста'вила	поста'вило	поста'вило	поста'вили	поста'вили	1319	1319
373	373	perfective	perfective	бросать	бросать	бро'сь	бро'сь	бро'сьте	бро'сьте	бро'сил	бро'сил	бро'сила	бро'сила	бро'сило	бро'сило	бро'сили	бро'сили	44	44
377	377	perfective	perfective	оставлять	оставлять	оста'вь	оста'вь	оста'вьте	оста'вьте	оста'вил	оста'вил	оста'вила	оста'вила	оста'вило	оста'вило	оста'вили	оста'вили	978	978
393	393	imperfective	imperfective	ответить	ответить	отвеча'й	отвеча'й	отвеча'йте	отвеча'йте	отвеча'л	отвеча'л	отвеча'ла	отвеча'ла	отвеча'ло	отвеча'ло	отвеча'ли	отвеча'ли	993	993
395	395	imperfective	imperfective	уйти	уйти	уходи'	уходи'	уходи'те	уходи'те	уходи'л	уходи'л	уходи'ла	уходи'ла	уходи'ло	уходи'ло	уходи'ли	уходи'ли	2147	2147
397	397	perfective	perfective	входить	входить	войди'	войди'	войди'те	войди'те	вошёл	вошёл	вошла'	вошла'	вошло'	вошло'	вошли'	вошли'	139	139
399	399	imperfective	imperfective	рассказать	рассказать	расска'зывай	расска'зывай	расска'зывайте	расска'зывайте	расска'зывал	расска'зывал	расска'зывала	расска'зывала	расска'зывало	расска'зывало	расска'зывали	расска'зывали	1683	1683
400	400	imperfective	imperfective	замолчать;помолчать	замолчать;помолчать	молчи'	молчи'	молчи'те	молчи'те	молча'л	молча'л	молча'ла	молча'ла	молча'ло	молча'ло	молча'ли	молча'ли	741	741
403	403	imperfective	imperfective	поспать	поспать	спи'	спи'	спи'те	спи'те	спа'л	спа'л	спала'	спала'	спа'ло	спа'ло	спа'ли	спа'ли	1898	1898
405	405	imperfective	imperfective	явиться	явиться	явля'йся	явля'йся	явля'йтесь	явля'йтесь	явля'лся	явля'лся	явля'лась	явля'лась	явля'лось	явля'лось	явля'лись	явля'лись	2206	2206
411	411	imperfective	imperfective	поискать	поискать	ищи'	ищи'	ищи'те	ищи'те	иска'л	иска'л	иска'ла	иска'ла	иска'ло	иска'ло	иска'ли	иска'ли	605	605
412	412	perfective	perfective	останавливаться	останавливаться	останови'сь	останови'сь	останови'тесь	останови'тесь	останови'лся	останови'лся	останови'лась	останови'лась	останови'лось	останови'лось	останови'лись	останови'лись	983	983
418	418	imperfective	imperfective	поверить	поверить	ве'рь	ве'рь	ве'рьте	ве'рьте	ве'рил	ве'рил	ве'рила	ве'рила	ве'рило	ве'рило	ве'рили	ве'рили	65	65
424	424	imperfective	imperfective	сыграть;поиграть	сыграть;поиграть	игра'й	игра'й	игра'йте	игра'йте	игра'л	игра'л	игра'ла	игра'ла	игра'ло	игра'ло	игра'ли	игра'ли	554	554
429	429	imperfective	imperfective	стать	стать	станови'сь	станови'сь	станови'тесь	станови'тесь	станови'лся	станови'лся	станови'лась	станови'лась	станови'лось	станови'лось	станови'лись	станови'лись	1923	1923
437	437	perfective	perfective	мочь	мочь	смоги'	смоги'	смоги'те	смоги'те	смо'г	смо'г	смогла'	смогла'	смогло'	смогло'	смогли'	смогли'	1813	1813
439	439	imperfective	imperfective	побежать	побежать	беги'	беги'	беги'те	беги'те	бежа'л	бежа'л	бежа'ла	бежа'ла	бежа'ло	бежа'ло	бежа'ли	бежа'ли	12	12
442	442	perfective	perfective	приезжать	приезжать	приезжа'й	приезжа'й	приезжа'йте	приезжа'йте	прие'хал	прие'хал	прие'хала	прие'хала	прие'хало	прие'хало	прие'хали	прие'хали	1441	1441
444	444	perfective	perfective	принимать	принимать	прими'	прими'	прими'те	прими'те	при'нял	при'нял	приняла'	приняла'	при'няло	при'няло	при'няли	при'няли	1481	1481
447	447	perfective	perfective	открывать	открывать	откро'й	откро'й	откро'йте	откро'йте	откры'л	откры'л	откры'ла	откры'ла	откры'ло	откры'ло	откры'ли	откры'ли	1012	1012
451	451	imperfective	imperfective	произойти	произойти	происходи'	происходи'	происходи'те	происходи'те	происходи'л	происходи'л	происходи'ла	происходи'ла	происходи'ло	происходи'ло	происходи'ли	происходи'ли	1547	1547
458	458	imperfective	imperfective	поехать	поехать	езжа'й	езжа'й	езжа'йте	езжа'йте	е'хал	е'хал	е'хала	е'хала	е'хало	е'хало	е'хали	е'хали	400	400
463	463	imperfective	imperfective	собраться	собраться	собира'йся	собира'йся	собира'йтесь	собира'йтесь	собира'лся	собира'лся	собира'лась	собира'лась	собира'лось	собира'лось	собира'лись	собира'лись	1829	1829
464	464	perfective	perfective	казаться;показываться	казаться;показываться	покажи'сь	покажи'сь	покажи'тесь	покажи'тесь	показа'лся	показа'лся	показа'лась	показа'лась	показа'лось	показа'лось	показа'лись	показа'лись	1237	1237
467	467	perfective	perfective	попадать	попадать	попади'	попади'	попади'те	попади'те	попа'л	попа'л	попа'ла	попа'ла	попа'ло	попа'ло	попа'ли	попа'ли	1292	1292
468	468	perfective	perfective	слышать	слышать	услы'шь	услы'шь	услы'шьте	услы'шьте	услы'шал	услы'шал	услы'шала	услы'шала	услы'шало	услы'шало	услы'шали	услы'шали	2116	2116
469	469	imperfective	imperfective	прийти	прийти	приходи'	приходи'	приходи'те	приходи'те	приходи'л	приходи'л	приходи'ла	приходи'ла	приходи'ло	приходи'ло	приходи'ли	приходи'ли	1505	1505
470	470	imperfective	imperfective	закричать;крикнуть	закричать;крикнуть	кричи'	кричи'	кричи'те	кричи'те	крича'л	крича'л	крича'ла	крича'ла	крича'ло	крича'ло	крича'ли	крича'ли	684	684
472	472	perfective	perfective	происходить	происходить	произойди'	произойди'	произойди'те	произойди'те	произошёл	произошёл	произошла'	произошла'	произошло'	произошло'	произошли'	произошли'	1545	1545
