id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
71	71	5347	5347	ве'шаю	ве'шаю	ве'шаешь	ве'шаешь	ве'шает	ве'шает	ве'шаем	ве'шаем	ве'шаете	ве'шаете	ве'шают	ве'шают
72	72	12319	12319	веща'ю	веща'ю	веща'ешь	веща'ешь	веща'ет	веща'ет	веща'ем	веща'ем	веща'ете	веща'ете	веща'ют	веща'ют
73	73	9085	9085	взбира'юсь	взбира'юсь	взбира'ешься	взбира'ешься	взбира'ется	взбира'ется	взбира'емся	взбира'емся	взбира'етесь	взбира'етесь	взбира'ются	взбира'ются
74	74	9894	9894	взве'шу	взве'шу	взве'сишь	взве'сишь	взве'сит	взве'сит	взве'сим	взве'сим	взве'сите	взве'сите	взве'сят	взве'сят
75	75	12094	12094	взве'шиваю	взве'шиваю	взве'шиваешь	взве'шиваешь	взве'шивает	взве'шивает	взве'шиваем	взве'шиваем	взве'шиваете	взве'шиваете	взве'шивают	взве'шивают
76	76	5218	5218	взволну'ю	взволну'ю	взволну'ешь	взволну'ешь	взволну'ет	взволну'ет	взволну'ем	взволну'ем	взволну'ете	взволну'ете	взволну'ют	взволну'ют
77	77	25161	25161	взволну'юсь	взволну'юсь	взволну'ешься	взволну'ешься	взволну'ется	взволну'ется	взволну'емся	взволну'емся	взволну'етесь	взволну'етесь	взволну'ются	взволну'ются
78	78	12677	12677	взгля'дываю	взгля'дываю	взгля'дываешь	взгля'дываешь	взгля'дывает	взгля'дывает	взгля'дываем	взгля'дываем	взгля'дываете	взгля'дываете	взгля'дывают	взгля'дывают
79	79	813	813	взгляну'	взгляну'	взгля'нешь	взгля'нешь	взгля'нет	взгля'нет	взгля'нем	взгля'нем	взгля'нете	взгля'нете	взгля'нут	взгля'нут
80	80	753	753	вздохну'	вздохну'	вздохнёшь	вздохнёшь	вздохнёт	вздохнёт	вздохнём	вздохнём	вздохнёте	вздохнёте	вздохну'т	вздохну'т
81	81	4119	4119	вздра'гиваю	вздра'гиваю	вздра'гиваешь	вздра'гиваешь	вздра'гивает	вздра'гивает	вздра'гиваем	вздра'гиваем	вздра'гиваете	вздра'гиваете	вздра'гивают	вздра'гивают
82	82	2703	2703	вздро'гну	вздро'гну	вздро'гнешь	вздро'гнешь	вздро'гнет	вздро'гнет	вздро'гнем	вздро'гнем	вздро'гнете	вздро'гнете	вздро'гнут	вздро'гнут
83	83	3383	3383	вздыха'ю	вздыха'ю	вздыха'ешь	вздыха'ешь	вздыха'ет	вздыха'ет	вздыха'ем	вздыха'ем	вздыха'ете	вздыха'ете	вздыха'ют	вздыха'ют
84	84	6912	6912	взлета'ю	взлета'ю	взлета'ешь	взлета'ешь	взлета'ет	взлета'ет	взлета'ем	взлета'ем	взлета'ете	взлета'ете	взлета'ют	взлета'ют
85	85	4549	4549	взлечу'	взлечу'	взлети'шь	взлети'шь	взлети'т	взлети'т	взлети'м	взлети'м	взлети'те	взлети'те	взлетя'т	взлетя'т
86	86	31079	31079	взметну'	взметну'	взметнёшь	взметнёшь	взметнёт	взметнёт	взметнём	взметнём	взметнёте	взметнёте	взметну'т	взметну'т
87	87	7821	7821	взберу'сь	взберу'сь	взберёшься	взберёшься	взберётся	взберётся	взберёмся	взберёмся	взберётесь	взберётесь	взберу'тся	взберу'тся
88	88	6636	6636	взойду'	взойду'	взойдёшь	взойдёшь	взойдёт	взойдёт	взойдём	взойдём	взойдёте	взойдёте	взойду'т	взойду'т
89	89	137	137	возьму'	возьму'	возьмёшь	возьмёшь	возьмёт	возьмёт	возьмём	возьмём	возьмёте	возьмёте	возьму'т	возьму'т
90	90	1168	1168	возьму'сь	возьму'сь	возьмёшься	возьмёшься	возьмётся	возьмётся	возьмёмся	возьмёмся	возьмётесь	возьмётесь	возьму'тся	возьму'тся
91	91	1469	1469												
92	92	94	94	ви'жу	ви'жу	ви'дишь	ви'дишь	ви'дит	ви'дит	ви'дим	ви'дим	ви'дите	ви'дите	ви'дят	ви'дят
93	93	3425	3425	ви'жусь	ви'жусь	ви'дишься	ви'дишься	ви'дится	ви'дится	ви'димся	ви'димся	ви'дитесь	ви'дитесь	ви'дятся	ви'дятся
94	94	6177	6177	визжу'	визжу'	визжи'шь	визжи'шь	визжи'т	визжи'т	визжи'м	визжи'м	визжи'те	визжи'те	визжа'т	визжа'т
95	95	10929	10929	виню'	виню'	вини'шь	вини'шь	вини'т	вини'т	вини'м	вини'м	вини'те	вини'те	виня'т	виня'т
96	96	862	862	вишу'	вишу'	виси'шь	виси'шь	виси'т	виси'т	виси'м	виси'м	виси'те	виси'те	вися'т	вися'т
97	97	11255	11255	вита'ю	вита'ю	вита'ешь	вита'ешь	вита'ет	вита'ет	вита'ем	вита'ем	вита'ете	вита'ете	вита'ют	вита'ют
98	98	6983	6983	вью'	вью'	вьёшь	вьёшь	вьёт	вьёт	вьём	вьём	вьёте	вьёте	вью'т	вью'т
99	99	3225	3225	включа'ю	включа'ю	включа'ешь	включа'ешь	включа'ет	включа'ет	включа'ем	включа'ем	включа'ете	включа'ете	включа'ют	включа'ют
100	100	1755	1755	включу'	включу'	включи'шь	включи'шь	включи'т	включи'т	включи'м	включи'м	включи'те	включи'те	включа'т	включа'т
101	101	2709	2709	владе'ю	владе'ю	владе'ешь	владе'ешь	владе'ет	владе'ет	владе'ем	владе'ем	владе'ете	владе'ете	владе'ют	владе'ют
102	102	15370	15370	влива'юсь	влива'юсь	влива'ешься	влива'ешься	влива'ется	влива'ется	влива'емся	влива'емся	влива'етесь	влива'етесь	влива'ются	влива'ются
103	103	16783	16783	волью'сь	волью'сь	вольёшься	вольёшься	вольётся	вольётся	вольёмся	вольёмся	вольётесь	вольётесь	волью'тся	волью'тся
104	104	5544	5544	влия'ю	влия'ю	влия'ешь	влия'ешь	влия'ет	влия'ет	влия'ем	влия'ем	влия'ете	влия'ете	влия'ют	влия'ют
105	105	5329	5329	влюблю'сь	влюблю'сь	влю'бишься	влю'бишься	влю'бится	влю'бится	влю'бимся	влю'бимся	влю'битесь	влю'битесь	влю'бятся	влю'бятся
106	106	11239	11239	влюбля'юсь	влюбля'юсь	влюбля'ешься	влюбля'ешься	влюбля'ется	влюбля'ется	влюбля'емся	влюбля'емся	влюбля'етесь	влюбля'етесь	влюбля'ются	влюбля'ются
107	107	3936	3936	вмеша'юсь	вмеша'юсь	вмеша'ешься	вмеша'ешься	вмеша'ется	вмеша'ется	вмеша'емся	вмеша'емся	вмеша'етесь	вмеша'етесь	вмеша'ются	вмеша'ются
108	108	5126	5126	вме'шиваюсь	вме'шиваюсь	вме'шиваешься	вме'шиваешься	вме'шивается	вме'шивается	вме'шиваемся	вме'шиваемся	вме'шиваетесь	вме'шиваетесь	вме'шиваются	вме'шиваются
109	109	3411	3411	внесу'	внесу'	внесёшь	внесёшь	внесёт	внесёт	внесём	внесём	внесёте	внесёте	внесу'т	внесу'т
